COUNTRY_CODE,COUNTRY_NAME,DOMESTIC_FOREIGN_CODE,DISTRICT,DISTRICT_NAME,ALL_VALUES_MONTH,ALL_VALUES_YEAR,COMMODITY_DESCRIPTION,COMMODITY,YEAR,MONTH
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,2067756369,2067756369,"Vaccines, Blood, and Immunological products",3002,2019,01
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1727635692,1727635692,"Vaccines, Blood, and Immunological products",3002,2019,01
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,340120677,340120677,"Vaccines, Blood, and Immunological products",3002,2019,01
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,2128979552,4196735921,"Vaccines, Blood, and Immunological products",3002,2019,02
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,2020034465,3747670157,"Vaccines, Blood, and Immunological products",3002,2019,02
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,108945087,449065764,"Vaccines, Blood, and Immunological products",3002,2019,02
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,2105051881,5852722038,"Vaccines, Blood, and Immunological products",3002,2019,03
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,555215729,1004281493,"Vaccines, Blood, and Immunological products",3002,2019,03
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,2660267610,6857003531,"Vaccines, Blood, and Immunological products",3002,2019,03
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1937895358,8794898889,"Vaccines, Blood, and Immunological products",3002,2019,04
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1834774157,7687496195,"Vaccines, Blood, and Immunological products",3002,2019,04
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,103121201,1107402694,"Vaccines, Blood, and Immunological products",3002,2019,04
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,2036298371,10831197260,"Vaccines, Blood, and Immunological products",3002,2019,05
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1941283544,9628779739,"Vaccines, Blood, and Immunological products",3002,2019,05
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,95014827,1202417521,"Vaccines, Blood, and Immunological products",3002,2019,05
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1900699613,11529479352,"Vaccines, Blood, and Immunological products",3002,2019,06
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,120683248,1323100769,"Vaccines, Blood, and Immunological products",3002,2019,06
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,2021382861,12852580121,"Vaccines, Blood, and Immunological products",3002,2019,06
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1838771679,13368251031,"Vaccines, Blood, and Immunological products",3002,2019,07
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,78620305,1401721074,"Vaccines, Blood, and Immunological products",3002,2019,07
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1917391984,14769972105,"Vaccines, Blood, and Immunological products",3002,2019,07
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,2034715246,15402966277,"Vaccines, Blood, and Immunological products",3002,2019,08
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,71228594,1472949668,"Vaccines, Blood, and Immunological products",3002,2019,08
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,2105943840,16875915945,"Vaccines, Blood, and Immunological products",3002,2019,08
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,2265558508,19141474453,"Vaccines, Blood, and Immunological products",3002,2019,09
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1909660619,17312626896,"Vaccines, Blood, and Immunological products",3002,2019,09
